#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.52
2,1000,0.28,7.12
4,1000,0.28,14.24
8,1000,0.28,28.34
16,1000,0.31,51.55
32,1000,0.30,108.39
64,1000,0.34,187.34
128,1000,0.39,325.38
256,1000,0.46,557.49
512,1000,0.61,835.54
1024,1000,0.72,1430.20
2048,1000,0.84,2426.89
4096,1000,1.76,2332.65
8192,1000,2.13,3851.06
16384,1000,2.75,5947.39
32768,1000,3.86,8484.82
65536,640,5.43,12069.30
131072,320,11.08,11824.66
262144,160,19.77,13260.06
524288,80,39.92,13132.86
1048576,40,94.46,11101.05
2097152,20,215.30,9740.67
4194304,10,459.72,9123.55
8388608,5,1558.49,5382.53
16777216,2,3819.12,4392.96
33554432,1,7713.45,4350.12
67108864,1,15460.57,4340.65
134217728,1,30942.35,4337.67
268435456,1,62518.48,4293.70
