mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.03
8,1000,0.98,8.14
16,1000,0.99,16.24
32,1000,1.01,31.75
64,1000,1.17,54.66
128,1000,1.21,106.05
256,1000,1.43,178.87
512,1000,1.50,341.39
1024,1000,1.67,614.91
2048,1000,2.32,883.57
4096,1000,3.24,1265.94
8192,1000,4.55,1801.07
16384,1000,6.43,2548.98
32768,1000,8.57,3823.58
65536,640,12.43,5271.83
131072,320,18.72,7000.84
262144,160,32.61,8039.70
524288,80,54.29,9657.15
1048576,40,98.25,10672.25
2097152,20,182.03,11521.08
4194304,10,352.93,11884.11
8388608,5,692.65,12110.94
16777216,2,1381.43,12144.81
33554432,1,2759.00,12161.80
67108864,1,5515.07,12168.27
134217728,1,11038.11,12159.48
268435456,1,22055.32,12171.01
