#mpirun -np 2 mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ~./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.26
2,1000,0.24,8.49
4,1000,0.23,17.03
8,1000,0.23,34.15
16,1000,0.24,67.98
32,1000,0.24,130.74
64,1000,0.25,260.60
128,1000,0.26,489.22
256,1000,0.28,915.58
512,1000,0.42,1208.02
1024,1000,0.46,2238.73
2048,1000,0.59,3442.36
4096,1000,0.87,4735.11
8192,1000,1.43,5738.34
16384,1000,2.34,7000.16
32768,1000,3.56,9216.75
65536,640,5.71,11470.25
131072,320,8.77,14942.25
262144,160,15.15,17303.59
524288,80,41.30,12693.43
1048576,40,82.22,12753.40
2097152,20,156.34,13414.35
4194304,10,389.23,10776.00
8388608,5,1126.09,7449.33
16777216,2,2447.10,6855.97
33554432,1,5847.72,5738.03
67108864,1,11679.20,5746.01
134217728,1,23460.68,5720.97
268435456,1,48458.32,5539.51
