#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.19
2,1000,0.24,8.41
4,1000,0.24,16.81
8,1000,0.24,33.59
16,1000,0.24,67.64
32,1000,0.24,131.58
64,1000,0.24,262.09
128,1000,0.26,492.84
256,1000,0.28,905.85
512,1000,0.42,1230.36
1024,1000,0.45,2278.89
2048,1000,0.59,3462.77
4096,1000,0.83,4917.36
8192,1000,1.42,5779.37
16384,1000,2.32,7057.36
32768,1000,3.51,9334.10
65536,640,5.68,11545.73
131072,320,8.68,15105.61
262144,160,14.98,17502.79
524288,80,41.48,12638.83
1048576,40,81.17,12917.81
2097152,20,153.77,13638.63
4194304,10,380.24,11030.74
8388608,5,1102.52,7608.56
16777216,2,2421.76,6927.68
33554432,1,5883.91,5702.74
67108864,1,11746.89,5712.91
134217728,1,23779.36,5644.30
268435456,1,49222.00,5453.57
