#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.10
2,1000,0.24,8.25
4,1000,0.24,16.38
8,1000,0.24,32.69
16,1000,0.24,65.59
32,1000,0.29,111.27
64,1000,0.28,227.01
128,1000,0.39,328.75
256,1000,0.45,565.58
512,1000,0.47,1081.71
1024,1000,0.60,1703.55
2048,1000,0.84,2434.14
4096,1000,1.22,3365.04
8192,1000,1.97,4155.44
16384,1000,3.56,4600.35
32768,1000,4.39,7465.18
65536,640,6.06,10810.71
131072,320,8.40,15605.70
262144,160,12.29,21321.24
524288,80,23.76,22062.13
1048576,40,49.33,21258.50
2097152,20,136.54,15359.32
4194304,10,299.84,13988.58
8388608,5,892.36,9400.48
16777216,2,2374.02,7067.00
33554432,1,5336.83,6287.33
67108864,1,10643.83,6304.95
134217728,1,21444.64,6258.80
268435456,1,42579.82,6304.29
