#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,4.61,0.00
1,1000,4.72,0.21
2,1000,4.67,0.43
4,1000,4.49,0.89
8,1000,4.79,1.67
16,1000,4.52,3.54
32,1000,4.92,6.51
64,1000,4.56,14.04
128,1000,3.87,33.10
256,1000,4.37,58.57
512,1000,4.39,116.56
1024,1000,4.19,244.23
2048,1000,4.32,473.87
4096,1000,4.83,848.75
8192,1000,4.47,1832.36
16384,1000,4.99,3282.63
32768,1000,5.69,5759.89
65536,640,7.21,9090.26
131072,320,10.56,12415.85
262144,160,15.92,16464.70
524288,80,34.92,15013.79
1048576,40,92.27,11363.85
2097152,20,199.73,10500.17
4194304,10,550.74,7615.75
8388608,5,1772.46,4732.74
16777216,2,3933.99,4264.68
33554432,1,8034.23,4176.43
67108864,1,15922.12,4214.82
134217728,1,31444.88,4268.35
268435456,1,62495.02,4295.31
