#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.50,0.00
1,1000,2.77,0.36
2,1000,2.85,0.70
4,1000,2.52,1.58
8,1000,2.76,2.90
16,1000,2.70,5.92
32,1000,2.65,12.08
64,1000,2.52,25.42
128,1000,2.37,54.10
256,1000,2.57,99.62
512,1000,2.54,201.77
1024,1000,2.51,408.23
2048,1000,2.74,746.97
4096,1000,3.15,1301.80
8192,1000,3.66,2235.58
16384,1000,4.04,4059.02
32768,1000,4.36,7510.42
65536,640,6.11,10730.02
131072,320,9.49,13818.55
262144,160,14.73,17791.72
524288,80,32.23,16268.51
1048576,40,89.80,11676.64
2097152,20,198.33,10574.20
4194304,10,486.39,8623.41
8388608,5,1724.23,4865.14
16777216,2,4107.36,4084.67
33554432,1,8329.02,4028.61
67108864,1,16713.71,4015.20
134217728,1,33388.16,4019.92
268435456,1,66244.34,4052.20
