#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,4.96,0.20
2,1000,4.96,0.40
4,1000,4.95,0.81
8,1000,4.96,1.61
16,1000,4.96,3.23
32,1000,4.97,6.44
64,1000,4.98,12.84
128,1000,5.00,25.60
256,1000,5.02,50.98
512,1000,6.69,76.58
1024,1000,6.82,150.24
2048,1000,7.06,290.24
4096,1000,7.74,529.32
8192,1000,8.58,954.80
16384,1000,14.91,1098.53
32768,1000,22.50,1456.15
65536,640,39.97,1639.82
131072,320,75.07,1746.01
262144,160,54.19,4837.06
524288,80,89.05,5887.31
1048576,40,151.93,6901.67
2097152,20,276.17,7593.77
4194304,10,599.82,6992.58
8388608,5,1440.71,5822.55
16777216,2,3157.49,5313.47
33554432,1,6433.33,5215.72
67108864,1,12935.83,5187.83
134217728,1,25606.28,5241.59
268435456,1,51182.96,5244.63
