#mpirun -np 2 -f /var/spool/pbs/aux/58653.login.hpc ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.22,0.00
1,1000,1.21,0.82
2,1000,1.21,1.66
4,1000,1.22,3.29
8,1000,1.21,6.60
16,1000,1.21,13.18
32,1000,1.24,25.89
64,1000,1.48,43.25
128,1000,1.54,83.16
256,1000,1.80,141.88
512,1000,1.89,271.52
1024,1000,2.10,488.29
2048,1000,2.83,724.29
4096,1000,3.68,1112.28
8192,1000,4.68,1749.06
16384,1000,6.42,2551.29
32768,1000,10.05,3260.49
65536,640,12.98,5047.22
131072,320,21.48,6100.95
262144,160,33.05,7931.58
524288,80,57.98,9041.99
1048576,40,98.58,10636.45
2097152,20,183.82,11408.60
4194304,10,354.59,11828.67
8388608,5,698.31,12012.81
16777216,2,1386.16,12103.38
33554432,1,2752.26,12191.60
67108864,1,5486.62,12231.37
134217728,1,10971.90,12232.86
268435456,1,21991.28,12206.45
