#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.89
2,1000,1.14,1.76
4,1000,1.14,3.52
8,1000,1.13,7.09
16,1000,1.13,14.11
32,1000,1.15,27.75
64,1000,1.33,48.04
128,1000,1.39,92.30
256,1000,1.65,155.27
512,1000,1.72,298.02
1024,1000,1.89,540.96
2048,1000,2.61,786.08
4096,1000,3.40,1206.30
8192,1000,4.34,1888.70
16384,1000,6.03,2716.22
32768,1000,9.33,3512.48
65536,640,12.53,5231.87
131072,320,21.89,5988.04
262144,160,32.72,8011.05
524288,80,54.76,9574.91
1048576,40,96.71,10842.74
2097152,20,181.87,11531.13
4194304,10,352.82,11887.81
8388608,5,696.98,12035.60
16777216,2,1382.89,12131.96
33554432,1,2753.78,12184.86
67108864,1,5494.07,12214.77
134217728,1,10982.79,12220.73
268435456,1,22002.00,12200.50
