#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.22,0.00
1,1000,1.21,0.83
2,1000,1.21,1.65
4,1000,1.21,3.32
8,1000,1.21,6.64
16,1000,1.21,13.22
32,1000,1.24,25.83
64,1000,1.48,43.23
128,1000,1.53,83.45
256,1000,1.79,142.71
512,1000,1.89,271.61
1024,1000,2.09,490.67
2048,1000,2.83,723.46
4096,1000,3.69,1109.49
8192,1000,4.67,1755.02
16384,1000,6.42,2553.09
32768,1000,9.90,3311.05
65536,640,12.94,5065.43
131072,320,22.02,5951.85
262144,160,32.93,7960.13
524288,80,57.99,9041.50
1048576,40,97.29,10778.28
2097152,20,184.25,11381.90
4194304,10,355.96,11782.94
8388608,5,698.34,12012.16
16777216,2,1384.71,12116.02
33554432,1,2764.40,12138.07
67108864,1,5512.76,12173.36
134217728,1,11002.06,12199.33
268435456,1,21979.46,12213.01
