#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.26,0.00
1,1000,9.23,0.11
2,1000,9.17,0.22
4,1000,9.21,0.43
8,1000,9.21,0.87
16,1000,9.19,1.74
32,1000,9.28,3.45
64,1000,8.34,7.68
128,1000,8.32,15.38
256,1000,8.50,30.11
512,1000,10.83,47.28
1024,1000,11.13,91.97
2048,1000,13.41,152.68
4096,1000,14.32,285.96
8192,1000,16.35,501.04
16384,1000,26.81,611.03
32768,1000,37.76,867.84
65536,640,64.23,1020.32
131072,320,120.38,1088.84
262144,160,180.19,1454.85
524288,80,267.15,1962.53
1048576,40,447.61,2342.59
2097152,20,814.34,2575.27
4194304,10,1472.28,2848.84
8388608,5,3200.51,2621.02
16777216,2,6684.86,2509.73
33554432,1,13321.47,2518.82
67108864,1,26475.25,2534.78
134217728,1,51959.29,2583.13
268435456,1,103370.19,2596.84
