#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.17,0.00
1,1000,9.27,0.11
2,1000,8.65,0.23
4,1000,8.66,0.46
8,1000,8.65,0.92
16,1000,8.63,1.85
32,1000,8.69,3.68
64,1000,8.70,7.36
128,1000,8.69,14.73
256,1000,8.75,29.25
512,1000,11.53,44.39
1024,1000,11.79,86.88
2048,1000,13.69,149.56
4096,1000,15.04,272.28
8192,1000,17.09,479.25
16384,1000,26.97,607.49
32768,1000,40.13,816.48
65536,640,69.67,940.66
131072,320,131.93,993.47
262144,160,173.73,1508.92
524288,80,250.46,2093.33
1048576,40,425.84,2462.35
2097152,20,775.56,2704.04
4194304,10,1470.38,2852.52
8388608,5,2966.16,2828.10
16777216,2,6110.75,2745.52
33554432,1,12169.35,2757.29
67108864,1,24411.33,2749.09
134217728,1,48725.12,2754.59
268435456,1,97986.23,2739.52
