#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ~./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.43,4.64
4,1000,0.43,9.35
8,1000,0.43,18.63
16,1000,0.43,37.49
32,1000,0.46,69.07
64,1000,0.47,136.85
128,1000,0.57,222.70
256,1000,0.61,416.91
512,1000,0.80,643.00
1024,1000,0.87,1175.79
2048,1000,1.02,2004.16
4096,1000,1.45,2827.39
8192,1000,1.97,4151.47
16384,1000,3.27,5012.72
32768,1000,4.98,6584.04
65536,640,9.39,6981.65
131072,320,17.70,7405.45
262144,160,33.90,7733.29
524288,80,81.97,6395.98
1048576,40,166.48,6298.40
2097152,20,329.87,6357.49
4194304,10,654.15,6411.82
8388608,5,1357.02,6181.62
16777216,2,3784.98,4432.58
33554432,1,7811.05,4295.77
67108864,1,15607.13,4299.88
134217728,1,31192.21,4302.93
268435456,1,62623.91,4286.47
