#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.46,2.19
2,1000,0.46,4.37
4,1000,0.45,8.80
8,1000,0.45,17.70
16,1000,0.45,35.59
32,1000,0.62,51.82
64,1000,0.62,102.57
128,1000,1.01,126.77
256,1000,1.10,232.08
512,1000,1.22,417.97
1024,1000,1.47,696.05
2048,1000,2.27,900.84
4096,1000,3.25,1260.46
8192,1000,5.22,1568.32
16384,1000,4.50,3641.99
32768,1000,5.48,5975.56
65536,640,6.83,9597.34
131072,320,9.59,13662.39
262144,160,13.16,19925.67
524288,80,26.41,19848.46
1048576,40,53.41,19632.89
2097152,20,137.71,15229.24
4194304,10,293.78,14277.00
8388608,5,648.86,12928.26
16777216,2,2119.97,7913.90
33554432,1,5885.74,5700.97
67108864,1,12338.10,5439.16
134217728,1,24752.04,5422.49
268435456,1,49495.50,5423.43
