#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.43,4.62
4,1000,0.44,9.16
8,1000,0.43,18.47
16,1000,0.43,36.89
32,1000,0.47,68.01
64,1000,0.47,135.57
128,1000,0.58,221.38
256,1000,0.62,413.47
512,1000,0.79,644.08
1024,1000,0.88,1165.98
2048,1000,1.01,2034.48
4096,1000,1.45,2825.68
8192,1000,1.96,4179.80
16384,1000,3.23,5075.35
32768,1000,5.05,6489.78
65536,640,9.30,7044.95
131072,320,17.90,7323.06
262144,160,34.35,7631.41
524288,80,83.42,6285.04
1048576,40,169.93,6170.60
2097152,20,337.15,6220.18
4194304,10,668.18,6277.20
8388608,5,1388.11,6043.19
16777216,2,3831.52,4378.74
33554432,1,7917.17,4238.19
67108864,1,15887.36,4224.04
134217728,1,31780.18,4223.32
268435456,1,63753.35,4210.53
