#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.56,0.00
1,1000,1.57,0.64
2,1000,1.57,1.27
4,1000,1.57,2.55
8,1000,1.57,5.10
16,1000,1.57,10.19
32,1000,1.55,20.61
64,1000,1.63,39.33
128,1000,1.85,69.00
256,1000,1.97,130.17
512,1000,2.06,248.74
1024,1000,2.06,496.79
2048,1000,2.41,850.73
4096,1000,3.53,1161.90
8192,1000,3.94,2080.32
16384,1000,4.17,3931.61
32768,1000,5.39,6074.93
65536,640,6.58,9954.66
131072,320,9.52,13765.48
262144,160,15.38,17039.37
524288,80,32.45,16157.47
1048576,40,85.07,12325.77
2097152,20,201.59,10403.11
4194304,10,408.21,10274.97
8388608,5,1067.56,7857.74
16777216,2,3720.38,4509.55
33554432,1,9306.76,3605.38
67108864,1,18972.72,3537.12
134217728,1,37550.17,3574.36
268435456,1,75264.60,3566.56
