#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.20,0.00
1,1000,8.21,0.12
2,1000,8.19,0.24
4,1000,8.17,0.49
8,1000,8.21,0.97
16,1000,8.18,1.96
32,1000,8.19,3.91
64,1000,8.46,7.56
128,1000,8.45,15.15
256,1000,8.49,30.14
512,1000,10.27,49.84
1024,1000,10.40,98.41
2048,1000,10.88,188.15
4096,1000,12.22,335.30
8192,1000,13.23,619.08
16384,1000,23.75,689.84
32768,1000,35.60,920.40
65536,640,58.35,1123.22
131072,320,105.46,1242.87
262144,160,115.64,2266.85
524288,80,173.29,3025.56
1048576,40,302.43,3467.21
2097152,20,617.27,3397.46
4194304,10,1227.69,3416.41
8388608,5,2428.22,3454.63
16777216,2,5031.53,3334.42
33554432,1,10172.38,3298.58
67108864,1,20490.02,3275.20
134217728,1,40632.24,3303.23
268435456,1,81201.73,3305.78
