#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.94,0.00
1,1000,7.91,0.13
2,1000,7.91,0.25
4,1000,7.91,0.51
8,1000,7.97,1.00
16,1000,7.88,2.03
32,1000,7.94,4.03
64,1000,8.22,7.79
128,1000,8.26,15.50
256,1000,8.24,31.08
512,1000,9.99,51.26
1024,1000,10.14,101.00
2048,1000,10.69,191.55
4096,1000,11.88,344.67
8192,1000,13.20,620.39
16384,1000,23.41,699.82
32768,1000,33.56,976.45
65536,640,56.63,1157.34
131072,320,104.06,1259.52
262144,160,114.39,2291.61
524288,80,172.73,3035.32
1048576,40,303.41,3456.02
2097152,20,618.87,3388.67
4194304,10,1228.60,3413.90
8388608,5,2424.13,3460.47
16777216,2,5059.98,3315.67
33554432,1,10234.00,3278.72
67108864,1,20230.68,3317.18
134217728,1,41229.25,3255.40
268435456,1,80886.04,3318.69
