#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,14.98,0.00
1,1000,11.51,0.09
2,1000,14.95,0.13
4,1000,21.48,0.19
8,1000,14.95,0.54
16,1000,14.95,1.07
32,1000,14.79,2.16
64,1000,21.52,2.97
128,1000,21.53,5.95
256,1000,21.55,11.88
512,1000,23.25,22.02
1024,1000,16.95,60.41
2048,1000,23.84,85.90
4096,1000,25.16,162.77
8192,1000,24.01,341.24
16384,1000,50.81,322.48
32768,1000,74.43,440.23
65536,640,119.72,547.41
131072,320,227.45,576.27
262144,160,194.45,1348.15
524288,80,338.76,1547.68
1048576,40,636.86,1646.48
2097152,20,1270.00,1651.30
4194304,10,2529.52,1658.14
8388608,5,5051.34,1660.67
16777216,2,8309.38,2019.07
33554432,1,16716.62,2007.25
67108864,1,39234.77,1710.44
134217728,1,85574.75,1568.43
268435456,1,164351.22,1633.30
