#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.5,0.0
1,1000,2.55,0.42
2,1000,2.56,0.83
4,1000,2.55,1.66
8,1000,2.54,3.32
16,1000,2.48,6.86
32,1000,2.49,13.63
64,1000,2.42,27.97
128,1000,2.26,58.77
256,1000,2.53,104.31
512,1000,2.6,207.3
1024,1000,2.6,410.41
2048,1000,2.68,788.37
4096,1000,3.19,1317.26
8192,1000,3.37,2481.45
16384,1000,3.8,4374.17
32768,1000,4.61,7184.5
65536,640,6.02,10943.26
131072,320,9.14,14384.44
262144,160,14.48,18114.08
524288,80,30.87,16989.46
1048576,40,84.98,12344.41
2097152,20,191.46,10953.66
4194304,10,467.05,8981.99
8388608,5,1634.51,5132.38
16777216,2,3917.66,4282.51
33554432,1,7952.13,4219.65
67108864,1,16022.84,4188.4
134217728,1,31838.75,4215.61
268435456,1,63295.64,4241.09
