#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.0
1,1000,0.45,2.23
2,1000,0.45,4.45
4,1000,0.45,8.9
8,1000,0.45,17.9
16,1000,0.45,35.75
32,1000,0.63,51.14
64,1000,0.62,102.53
128,1000,1.0,127.82
256,1000,1.11,229.89
512,1000,1.21,421.07
1024,1000,1.47,694.34
2048,1000,2.25,910.45
4096,1000,3.26,1258.31
8192,1000,5.2,1574.05
16384,1000,4.61,3555.25
32768,1000,5.5,5956.07
65536,640,6.73,9735.47
131072,320,9.4,13951.48
262144,160,12.96,20224.83
524288,80,25.79,20336.54
1048576,40,51.71,20301.74
2097152,20,139.77,15005.51
4194304,10,292.14,14357.47
8388608,5,637.06,13167.83
16777216,2,2089.6,8029.13
33554432,1,5958.87,5631.1
67108864,1,12351.71,5433.22
134217728,1,24765.83,5419.57
268435456,1,49189.67,5457.22
