mpirun -np 2 --map by core ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.03
2,1000,0.20,10.03
4,1000,0.20,20.10
8,1000,0.21,38.94
16,1000,0.19,84.24
32,1000,0.22,143.42
64,1000,0.22,290.67
128,1000,0.31,411.77
256,1000,0.32,789.96
512,1000,0.41,1261.55
1024,1000,0.48,2111.52
2048,1000,0.75,2746.58
4096,1000,1.11,3674.81
8192,1000,1.85,4427.00
16384,1000,2.94,5568.79
32768,1000,4.74,6914.15
65536,640,8.06,8134.91
131072,320,14.47,9057.40
262144,160,12.61,20792.50
524288,80,27.11,19338.98
1048576,40,56.62,18519.65
2097152,20,145.44,14419.38
4194304,10,300.07,13977.57
8388608,5,844.97,9927.70
16777216,2,2290.80,7323.74
33554432,1,5187.23,6468.66
67108864,1,10401.87,6451.61
134217728,1,20779.18,6459.24
268435456,1,41775.01,6425.74
