#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.48,0.00
1,1000,5.58,0.18
2,1000,5.55,0.36
4,1000,5.57,0.72
8,1000,5.54,1.44
16,1000,5.55,2.89
32,1000,5.54,5.77
64,1000,5.57,11.48
128,1000,5.66,22.62
256,1000,5.70,44.94
512,1000,5.70,89.84
1024,1000,6.34,161.58
2048,1000,6.14,333.56
4096,1000,7.19,569.89
8192,1000,7.53,1087.34
16384,1000,9.92,1652.06
32768,1000,15.71,2085.46
65536,640,30.91,2120.14
131072,320,43.78,2993.74
262144,160,62.68,4182.53
524288,80,97.63,5370.04
1048576,40,166.95,6280.92
2097152,20,314.40,6670.34
4194304,10,669.68,6263.12
8388608,5,1645.56,5097.73
16777216,2,3434.56,4884.82
33554432,1,6891.36,4869.06
67108864,1,13742.97,4883.14
134217728,1,26741.33,5019.11
268435456,1,53274.50,5038.72
