#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.41,0.00
1,1000,5.46,0.18
2,1000,5.47,0.37
4,1000,5.50,0.73
8,1000,5.47,1.46
16,1000,5.45,2.93
32,1000,5.46,5.86
64,1000,5.47,11.70
128,1000,5.55,23.06
256,1000,5.55,46.11
512,1000,5.61,91.27
1024,1000,6.30,162.62
2048,1000,6.11,335.01
4096,1000,7.16,572.01
8192,1000,7.58,1080.09
16384,1000,9.68,1693.43
32768,1000,15.92,2058.02
65536,640,30.44,2153.26
131072,320,43.36,3022.57
262144,160,61.25,4279.88
524288,80,95.34,5499.36
1048576,40,160.89,6517.46
2097152,20,304.17,6894.68
4194304,10,590.95,7097.60
8388608,5,1506.29,5569.05
16777216,2,3285.62,5106.26
33554432,1,6593.44,5089.06
67108864,1,12714.58,5278.10
134217728,1,25310.72,5302.80
268435456,1,52854.87,5078.73
