#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.29,3.46
2,1000,0.28,7.05
4,1000,0.28,14.49
8,1000,0.28,28.93
16,1000,0.31,52.32
32,1000,0.31,102.48
64,1000,0.35,183.80
128,1000,0.40,318.11
256,1000,0.47,544.44
512,1000,0.62,824.92
1024,1000,0.72,1416.81
2048,1000,0.84,2434.66
4096,1000,1.77,2309.85
8192,1000,2.10,3897.13
16384,1000,2.85,5752.20
32768,1000,3.79,8646.81
65536,640,5.86,11174.82
131072,320,9.27,14141.96
262144,160,19.02,13782.49
524288,80,38.50,13617.46
1048576,40,90.73,11557.17
2097152,20,213.77,9810.19
4194304,10,529.92,7914.96
8388608,5,1555.00,5394.59
16777216,2,3868.55,4336.82
33554432,1,8075.96,4154.85
67108864,1,16222.83,4136.69
134217728,1,32364.72,4147.04
268435456,1,64037.42,4191.85
