#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.60
2,1000,0.28,7.26
4,1000,0.28,14.54
8,1000,0.27,29.25
16,1000,0.30,53.18
32,1000,0.30,107.37
64,1000,0.33,193.26
128,1000,0.39,328.15
256,1000,0.47,550.53
512,1000,0.60,852.67
1024,1000,0.70,1454.12
2048,1000,0.86,2385.96
4096,1000,1.70,2402.42
8192,1000,2.02,4058.06
16384,1000,2.53,6485.42
32768,1000,11.75,2788.93
65536,640,4.99,13126.35
131072,320,34.74,3772.43
262144,160,68.09,3849.98
524288,80,30.33,17285.94
1048576,40,297.96,3519.19
2097152,20,210.01,9986.11
4194304,10,2260.31,1855.63
8388608,5,14303.96,586.45
16777216,2,16259.86,1031.82
33554432,1,14072.04,2384.48
67108864,1,28296.86,2371.60
134217728,1,62857.00,2135.29
268435456,1,132688.69,2023.05
