#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.28,3.51
2,1000,0.28,7.19
4,1000,0.28,14.36
8,1000,0.28,28.82
16,1000,0.31,51.96
32,1000,0.29,108.95
64,1000,0.33,194.17
128,1000,0.39,331.97
256,1000,0.46,557.18
512,1000,0.61,835.59
1024,1000,0.70,1469.18
2048,1000,0.88,2337.05
4096,1000,1.75,2341.44
8192,1000,2.10,3895.52
16384,1000,2.64,6198.93
32768,1000,3.74,8767.82
65536,640,5.30,12356.21
131072,320,10.64,12314.02
262144,160,18.39,14255.70
524288,80,38.42,13646.79
1048576,40,90.37,11603.29
2097152,20,208.96,10036.00
4194304,10,424.38,9883.43
8388608,5,1480.77,5665.05
16777216,2,3649.93,4596.59
33554432,1,7383.89,4544.28
67108864,1,14791.85,4536.88
134217728,1,29587.37,4536.32
268435456,1,59156.51,4537.72
