mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.04
8,1000,0.99,8.11
16,1000,1.00,16.07
32,1000,1.01,31.64
64,1000,1.14,56.02
128,1000,1.17,108.96
256,1000,1.43,179.19
512,1000,1.48,346.31
1024,1000,1.64,623.05
2048,1000,2.30,888.99
4096,1000,3.22,1270.31
8192,1000,4.61,1775.76
16384,1000,6.58,2489.68
32768,1000,8.63,3797.41
65536,640,12.42,5274.94
131072,320,18.62,7039.02
262144,160,32.64,8030.52
524288,80,57.11,9179.97
1048576,40,97.42,10763.15
2097152,20,182.20,11510.39
4194304,10,352.53,11897.60
8388608,5,692.65,12110.97
16777216,2,1382.95,12131.46
33554432,1,2756.76,12171.70
67108864,1,5506.83,12186.47
134217728,1,11026.41,12172.39
268435456,1,22079.59,12157.63
