#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.18,0.00
1,1000,16.20,0.06
2,1000,16.18,0.12
4,1000,16.24,0.25
8,1000,16.23,0.49
16,1000,16.23,0.99
32,1000,16.22,1.97
64,1000,16.44,3.89
128,1000,17.22,7.43
256,1000,17.27,14.82
512,1000,17.28,29.63
1024,1000,18.08,56.63
2048,1000,39.52,51.82
4096,1000,39.81,102.89
8192,1000,41.01,199.77
16384,1000,43.36,377.87
32768,1000,54.06,606.12
65536,640,60.98,1074.76
131072,320,108.98,1202.66
262144,160,158.51,1653.80
524288,80,240.06,2183.98
1048576,40,381.88,2745.82
2097152,20,702.49,2985.30
4194304,10,1456.47,2879.77
8388608,5,3158.71,2655.70
16777216,2,6504.69,2579.25
33554432,1,13143.91,2552.85
67108864,1,25797.58,2601.36
134217728,1,51310.44,2615.80
268435456,1,101170.30,2653.30
