#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.98,2.03
4,1000,0.98,4.07
8,1000,0.98,8.14
16,1000,0.99,16.22
32,1000,1.01,31.80
64,1000,1.15,55.41
128,1000,1.20,106.86
256,1000,1.42,179.82
512,1000,1.49,343.78
1024,1000,1.66,615.69
2048,1000,2.33,877.61
4096,1000,3.29,1245.79
8192,1000,4.63,1768.45
16384,1000,6.57,2493.76
32768,1000,8.68,3776.86
65536,640,12.49,5246.61
131072,320,18.86,6949.23
262144,160,32.71,8014.03
524288,80,54.44,9630.75
1048576,40,98.28,10669.23
2097152,20,182.23,11508.24
4194304,10,352.74,11890.79
8388608,5,694.08,12085.94
16777216,2,1383.28,12128.60
33554432,1,2758.39,12164.51
67108864,1,5499.97,12201.68
134217728,1,11015.89,12184.01
268435456,1,22056.01,12170.63
