#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,7.50,0.27
4,1000,1.01,3.97
8,1000,1.00,7.98
16,1000,0.99,16.14
32,1000,1.01,31.56
64,1000,1.17,54.50
128,1000,7.72,16.58
256,1000,1.43,178.46
512,1000,8.01,63.90
1024,1000,1.67,613.78
2048,1000,2.33,879.20
4096,1000,3.20,1278.77
8192,1000,10.98,746.10
16384,1000,12.77,1283.18
32768,1000,14.96,2189.95
65536,640,22.57,2903.06
131072,320,39.04,3357.38
262144,160,73.36,3573.37
524288,80,104.22,5030.67
1048576,40,196.10,5347.28
2097152,20,382.33,5485.20
4194304,10,940.10,4461.53
8388608,5,1352.13,6203.99
16777216,2,2797.68,5996.84
33554432,1,2756.90,12171.10
67108864,1,5516.90,12164.24
134217728,1,12715.84,10555.16
268435456,1,25987.48,10329.41
