#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,0.99,2.01
4,1000,1.00,4.00
8,1000,0.99,8.09
16,1000,0.99,16.17
32,1000,1.01,31.62
64,1000,1.14,56.24
128,1000,1.18,108.34
256,1000,1.41,181.39
512,1000,1.49,344.67
1024,1000,1.64,624.58
2048,1000,2.30,890.86
4096,1000,3.17,1291.87
8192,1000,4.46,1834.83
16384,1000,6.22,2632.79
32768,1000,8.39,3905.71
65536,640,12.26,5346.98
131072,320,18.43,7111.77
262144,160,32.61,8039.18
524288,80,54.29,9656.30
1048576,40,97.02,10807.52
2097152,20,186.00,11274.92
4194304,10,351.80,11922.31
8388608,5,691.99,12122.37
16777216,2,1382.67,12133.96
33554432,1,2764.67,12136.85
67108864,1,5505.49,12189.45
134217728,1,11035.72,12162.12
268435456,1,22081.75,12156.44
