mpirun -np 2 --map by socket ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.51
2,1000,0.40,5.05
4,1000,0.41,9.73
8,1000,0.40,20.07
16,1000,0.42,38.46
32,1000,0.57,56.40
64,1000,0.56,114.55
128,1000,0.92,138.86
256,1000,0.98,261.73
512,1000,1.13,451.73
1024,1000,1.30,789.26
2048,1000,2.12,963.82
4096,1000,3.10,1322.70
8192,1000,4.99,1640.89
16384,1000,8.46,1937.49
32768,1000,14.70,2229.66
65536,640,27.31,2399.36
131072,320,50.73,2583.50
262144,160,15.68,16713.90
524288,80,26.17,20031.13
1048576,40,56.19,18661.20
2097152,20,144.48,14514.98
4194304,10,296.51,14145.54
8388608,5,619.75,13535.47
16777216,2,1930.50,8690.60
33554432,1,5497.85,6103.19
67108864,1,11902.23,5638.35
134217728,1,23916.43,5611.95
268435456,1,47718.76,5625.36
