#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.30,0.00
1,1000,8.35,0.12
2,1000,8.33,0.24
4,1000,8.36,0.48
8,1000,8.28,0.97
16,1000,8.37,1.91
32,1000,8.33,3.84
64,1000,8.41,7.61
128,1000,8.79,14.56
256,1000,8.79,29.13
512,1000,8.86,57.78
1024,1000,9.73,105.27
2048,1000,9.43,217.18
4096,1000,11.11,368.58
8192,1000,11.82,692.84
16384,1000,15.69,1044.10
32768,1000,25.83,1268.82
65536,640,57.30,1143.74
131072,320,81.01,1617.96
262144,160,121.69,2154.12
524288,80,195.72,2678.74
1048576,40,323.81,3238.21
2097152,20,613.68,3417.31
4194304,10,1228.26,3414.82
8388608,5,2437.02,3442.16
16777216,2,5027.72,3336.94
33554432,1,10207.29,3287.30
67108864,1,20199.39,3322.32
134217728,1,41749.41,3214.84
268435456,1,78846.09,3404.55
