#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,20.94,0.00
1,1000,14.56,0.07
2,1000,14.48,0.14
4,1000,14.52,0.28
8,1000,14.46,0.55
16,1000,14.45,1.11
32,1000,21.03,1.52
64,1000,14.50,4.41
128,1000,14.89,8.60
256,1000,21.45,11.94
512,1000,21.32,24.01
1024,1000,21.34,47.98
2048,1000,15.20,134.75
4096,1000,23.46,174.62
8192,1000,17.77,461.01
16384,1000,33.84,484.13
32768,1000,56.08,584.26
65536,640,61.35,1068.15
131072,320,97.66,1342.12
262144,160,126.21,2077.00
524288,80,196.53,2667.74
1048576,40,336.95,3111.98
2097152,20,651.35,3219.72
4194304,10,1307.26,3208.48
8388608,5,2794.11,3002.24
16777216,2,5611.10,2990.00
33554432,1,11191.71,2998.15
67108864,1,22180.82,3025.54
134217728,1,44434.31,3020.59
268435456,1,86545.75,3101.66
