#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.14,0.00
1,1000,8.24,0.12
2,1000,8.27,0.24
4,1000,8.24,0.49
8,1000,8.24,0.97
16,1000,8.26,1.94
32,1000,8.24,3.88
64,1000,8.26,7.75
128,1000,8.60,14.89
256,1000,8.64,29.64
512,1000,8.67,59.06
1024,1000,9.76,104.87
2048,1000,9.22,222.19
4096,1000,11.05,370.55
8192,1000,11.71,699.32
16384,1000,15.68,1044.83
32768,1000,25.83,1268.60
65536,640,57.42,1141.37
131072,320,80.87,1620.78
262144,160,123.92,2115.49
524288,80,196.94,2662.22
1048576,40,329.86,3178.82
2097152,20,626.02,3349.97
4194304,10,1223.61,3427.80
8388608,5,2431.44,3450.06
16777216,2,5253.62,3193.46
33554432,1,10758.06,3119.01
67108864,1,21646.72,3100.19
134217728,1,42007.00,3195.13
268435456,1,84379.97,3181.27
