#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.63,1.59
2,1000,0.64,3.15
4,1000,0.63,6.34
8,1000,0.63,12.61
16,1000,0.61,26.37
32,1000,0.65,49.44
64,1000,0.74,86.54
128,1000,0.94,136.08
256,1000,1.20,212.96
512,1000,1.01,505.86
1024,1000,1.45,707.49
2048,1000,1.71,1196.06
4096,1000,2.70,1518.81
8192,1000,3.30,2479.02
16384,1000,3.69,4441.79
32768,1000,4.92,6665.16
65536,640,6.38,10267.26
131072,320,11.16,11747.45
262144,160,19.57,13395.04
524288,80,39.53,13261.47
1048576,40,90.10,11637.86
2097152,20,214.37,9782.74
4194304,10,431.45,9721.43
8388608,5,1014.60,8267.89
16777216,2,3787.89,4429.17
33554432,1,9496.66,3533.29
67108864,1,19132.03,3507.67
134217728,1,37997.93,3532.24
268435456,1,75509.70,3554.98
