#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.52, bandwidth[Mbytes/sec] (computed) -> 5705.93
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.52,0.0,0.52,0.0
1,1000,0.52,1.91,0.52,1.91
2,1000,0.51,3.95,0.52,3.81
4,1000,0.51,7.87,0.52,7.62
8,1000,0.5,15.94,0.53,15.22
16,1000,0.51,31.85,0.53,30.36
32,1000,0.52,61.34,0.53,60.4
64,1000,0.52,122.55,0.54,119.54
128,1000,0.51,250.18,0.55,234.17
256,1000,0.55,468.18,0.57,449.87
512,1000,0.71,725.91,0.61,833.99
1024,1000,0.75,1361.87,0.7,1455.27
2048,1000,0.92,2225.58,0.88,2319.08
4096,1000,1.16,3529.69,1.24,3297.82
8192,1000,1.53,5347.26,1.96,4179.86
16384,1000,2.36,6954.52,3.4,4825.13
32768,1000,3.51,9337.88,6.27,5228.72
65536,640,5.73,11428.18,12.01,5456.95
131072,320,8.76,14959.82,23.5,5578.69
262144,160,15.04,17429.21,46.47,5641.63
524288,80,42.02,12480.47,92.41,5673.63
1048576,40,82.71,12678.06,184.29,5689.77
2097152,20,155.94,13448.65,368.06,5697.87
4194304,10,390.96,10729.16,735.59,5701.93
8388608,5,1137.44,7375.23,1470.66,5703.96
16777216,2,2552.96,6572.13,2940.8,5704.98
33554432,1,5861.77,5724.31,5881.08,5705.49
67108864,1,11650.65,5760.13,11761.64,5705.74
134217728,1,23441.08,5725.76,23522.75,5705.87
268435456,1,48349.4,5551.99,47044.97,5705.93
