#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 8.94, bandwidth[Mbytes/sec] (computed) -> 2880.89
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,9.23,0.0,8.94,0.0
1,1000,9.07,0.11,8.94,0.11
2,1000,8.76,0.23,8.94,0.22
4,1000,8.69,0.46,8.94,0.45
8,1000,8.68,0.93,8.94,0.89
16,1000,8.67,1.86,8.94,1.79
32,1000,8.76,3.67,8.95,3.58
64,1000,8.53,7.52,8.96,7.14
128,1000,8.64,14.85,8.98,14.25
256,1000,8.65,29.65,9.03,28.36
512,1000,11.09,46.23,9.12,56.16
1024,1000,11.47,89.38,9.29,110.18
2048,1000,13.66,150.29,9.65,212.24
4096,1000,14.66,280.32,10.36,395.35
8192,1000,16.68,492.82,11.78,695.3
16384,1000,26.26,625.31,14.63,1120.25
32768,1000,37.2,883.47,20.31,1613.25
65536,640,63.69,1031.6,31.68,2068.36
131072,320,118.74,1106.3,54.43,2408.03
262144,160,151.44,1736.5,99.92,2623.44
524288,80,226.07,2326.45,190.91,2746.27
1048576,40,374.68,2808.95,372.88,2812.1
2097152,20,1725.51,2517.31,736.82,2846.22
4194304,10,1361.08,3089.13,1464.7,2863.59
8388608,5,2844.96,2951.58,2920.47,2872.35
16777216,2,5982.83,2807.45,5831.99,2876.76
33554432,1,12005.97,2797.97,11655.05,2878.96
67108864,1,23889.64,2813.26,23301.16,2880.07
134217728,1,46447.69,2891.58,46593.37,2880.62
268435456,1,93630.34,2869.83,93177.81,2880.89
