#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ~./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.48, bandwidth[Mbytes/sec] (computed) -> 4289.15
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.42,0.0,0.48,0.0
1,1000,0.43,2.34,0.48,2.08
2,1000,0.43,4.64,0.48,4.16
4,1000,0.43,9.33,0.48,8.31
8,1000,0.43,18.66,0.48,16.59
16,1000,0.43,37.27,0.48,33.05
32,1000,0.46,69.1,0.49,65.6
64,1000,0.46,137.85,0.5,129.22
128,1000,0.57,224.32,0.51,250.88
256,1000,0.61,419.88,0.54,474.04
512,1000,0.8,643.65,0.6,853.73
1024,1000,0.87,1174.28,0.72,1424.02
2048,1000,1.02,2003.48,0.96,2138.16
4096,1000,1.46,2807.61,1.44,2853.74
8192,1000,1.97,4166.35,2.39,3427.22
16384,1000,3.27,5018.24,4.3,3810.06
32768,1000,5.0,6550.59,8.12,4035.45
65536,640,9.22,7107.77,15.76,4158.45
131072,320,17.71,7401.44,31.04,4222.81
262144,160,33.89,7736.01,61.6,4255.74
524288,80,81.91,6400.71,122.72,4272.39
1048576,40,166.32,6304.48,244.95,4280.77
2097152,20,330.19,6351.35,489.42,4284.97
4194304,10,655.17,6401.86,978.36,4287.08
8388608,5,1359.02,6172.59,1956.24,4288.13
16777216,2,3795.8,4420.04,3912.0,4288.66
33554432,1,7800.67,4301.49,7823.51,4288.92
67108864,1,15595.07,4303.21,15646.55,4289.05
134217728,1,31182.43,4304.29,31292.61,4289.12
268435456,1,62404.52,4301.55,62584.75,4289.15
