#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 15.76, bandwidth[Mbytes/sec] (computed) -> 2402.39
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,15.9,0.0,15.76,0.0
1,1000,15.93,0.06,15.76,0.06
2,1000,15.95,0.13,15.76,0.13
4,1000,15.97,0.25,15.76,0.25
8,1000,15.92,0.5,15.77,0.51
16,1000,16.14,0.99,15.77,1.01
32,1000,16.03,2.0,15.78,2.03
64,1000,16.18,3.96,15.79,4.05
128,1000,16.84,7.6,15.82,8.09
256,1000,16.75,15.29,15.87,16.13
512,1000,17.02,30.1,15.98,32.05
1024,1000,17.57,58.27,16.19,63.25
2048,1000,38.98,52.54,16.62,123.26
4096,1000,39.33,104.14,17.47,234.49
8192,1000,40.28,203.4,19.17,427.28
16384,1000,42.28,387.62,22.58,725.54
32768,1000,50.58,649.17,29.4,1114.53
65536,640,63.24,1036.33,43.04,1522.73
131072,320,117.68,1114.97,70.31,1864.09
262144,160,162.87,1623.14,124.87,2099.41
524288,80,246.55,2150.0,233.97,2240.85
1048576,40,399.63,2666.72,452.17,2318.97
2097152,20,750.22,2837.66,888.58,2360.11
4194304,10,1573.74,2709.72,1761.4,2381.23
8388608,5,3455.92,2470.27,3507.05,2391.93
16777216,2,7211.14,2357.69,6998.33,2397.32
33554432,1,14451.21,2357.08,13980.9,2400.02
67108864,1,28152.2,2427.1,27946.04,2401.37
134217728,1,55702.63,2453.76,55876.31,2402.05
268435456,1,104375.3,2600.78,111736.86,2402.39
