#bytes,repetitions,t,Mbytes/sec,err_speed,err_lat
0,1000,12.915,0,0,12.865
1,1000,10.482,0.106,0.045,6.28
2,1000,10.437,0.217,0.09,6.4
4,1000,10.458,0.434,0.18,6.41
8,1000,10.495,0.856,0.36,6.355
16,1000,8.778,1.851,0.33,1.59
32,1000,8.607,3.793,0.73,1.745
64,1000,8.618,7.575,1.41,1.69
128,1000,8.748,14.887,2.765,1.715
256,1000,8.759,29.826,5.885,1.82
512,1000,9.091,57.401,11.44,1.86
1024,1000,9.315,111.867,21.89,1.875
2048,1000,17.276,120.063,25.165,4.045
4096,1000,18.077,237.419,94.385,5.915
8192,1000,26.626,315.628,72.525,6.39
16384,1000,33.816,488.597,61.245,4.23
32768,1000,53.536,647.022,216.66,22.695
65536,640,77.215,891.701,327.495,31.465
131072,320,113.295,1194.313,328.245,29.78
262144,160,188.764,1424.235,309.06,46.94
524288,80,256.187,2070.604,299.66,38.33
1048576,40,427.769,2493.341,562.035,96.785
2097152,20,728.605,2949.354,869.245,225.1
4194304,10,1419.235,3006.481,735.875,344.36
8388608,5,2992.11,2849.677,597.72,628.545
16777216,2,6089.042,2801.772,596.735,1281.135
33554432,1,12442.139,2744.563,600.22,2657.18
67108864,1,24713.653,2766.968,629.98,5670.265
134217728,1,48672.295,2802.302,589.715,10481.22
268435456,1,97002.437,2810.832,594.545,20507.065
