#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.72, bandwidth[Mbytes/sec] (computed) -> 3954.68
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.54,0.0,0.72,0.0
1,1000,0.61,1.64,0.72,1.38
2,1000,0.61,3.28,0.72,2.77
4,1000,0.61,6.54,0.72,5.53
8,1000,0.61,13.12,0.72,11.05
16,1000,0.66,24.31,0.73,22.03
32,1000,0.72,44.42,0.73,43.82
64,1000,0.84,76.47,0.74,86.68
128,1000,0.97,131.68,0.75,169.64
256,1000,1.18,217.11,0.79,325.33
512,1000,1.04,492.62,0.85,601.2
1024,1000,1.42,722.28,0.98,1043.73
2048,1000,1.73,1189.08,1.24,1651.58
4096,1000,2.76,1485.95,1.76,2330.07
8192,1000,3.18,2573.39,2.79,2932.4
16384,1000,3.61,4542.23,4.87,3367.68
32768,1000,4.78,6867.76,9.01,3637.67
65536,640,6.44,10196.86,17.29,3789.58
131072,320,11.11,11816.47,33.87,3870.39
262144,160,19.44,13483.91,67.01,3912.1
524288,80,38.75,13534.03,133.29,3933.29
1048576,40,89.4,11735.03,265.87,3943.98
2097152,20,213.69,9817.54,531.01,3949.34
4194304,10,398.59,10523.02,1061.3,3952.03
8388608,5,865.91,9688.61,2121.89,3953.37
16777216,2,3191.7,5256.56,4243.05,3954.05
33554432,1,8344.0,4021.43,8485.38,3954.38
67108864,1,16884.47,3974.61,16970.03,3954.55
134217728,1,33707.87,3981.8,33939.35,3954.63
268435456,1,67395.75,3983.0,67877.97,3954.68
